size,seed,model,accuracy,precision,recall,f1,runtime,total_budget,avg_budget_per_node,scheduler_efficiency,med_mean,med_skew
medium,24,scheduled,0.83,0.8319396388938046,0.8311037950213208,0.8288647342995169,0.4880058765411377,152450.0,101.63333129882812,5.444408002623811e-06,0.518829345703125,-1.4093071222305298
medium,25,baseline,0.98,0.9799319931993199,0.9801215376804836,0.9799786897728082,0.8514220714569092,225000.0,150.0,4.3555555555555555e-06,,
medium,25,scheduled,0.79,0.7907021663257113,0.7913548669443261,0.7894427001569859,0.5137920379638672,152450.0,101.63333129882812,5.1820268940636275e-06,0.523120641708374,-1.4665883779525757
medium,26,baseline,0.96,0.9578947368421051,0.9591269841269842,0.958178904292894,0.836477518081665,225000.0,150.0,4.266666666666667e-06,,
medium,26,scheduled,0.7666666666666667,0.7607532509331613,0.7558767951625095,0.7555722729993034,0.485548734664917,152450.0,101.63333129882812,5.028971247403521e-06,0.5520779490470886,-1.7965147495269775
medium,27,baseline,0.9666666666666667,0.9670004794655772,0.9660576675333193,0.9660463683071749,0.8553497791290283,225000.0,150.0,4.296296296296296e-06,,
medium,27,scheduled,0.79,0.7901990903888437,0.7896814800686629,0.7894115576380069,0.6819822788238525,152450.0,101.63333129882812,5.1820268940636275e-06,0.5395444631576538,-1.525179147720337
medium,28,baseline,0.98,0.9804556126657783,0.9802457264957266,0.9803022794122495,0.9071865081787109,225000.0,150.0,4.3555555555555555e-06,,
medium,28,scheduled,0.7933333333333333,0.7932132252360459,0.7948611111111111,0.7935342083163902,0.4832735061645508,152450.0,101.63333129882812,5.203891986443643e-06,0.5347358584403992,-1.5262565612792969
medium,29,baseline,0.99,0.9903193981995314,0.9897631473303893,0.9899707864882653,0.8581695556640625,225000.0,150.0,4.4e-06,,
medium,29,scheduled,0.8633333333333333,0.8633494634967388,0.8635621570988894,0.8627647117247274,0.5142083168029785,152450.0,101.63333129882812,5.663058926423964e-06,0.5228718519210815,-1.4345715045928955
medium,30,baseline,0.9933333333333333,0.9933650227767875,0.9932996632996632,0.9933159186321551,0.9819576740264893,225000.0,150.0,4.414814814814815e-06,,
