group,seed,model,accuracy,precision,recall,f1,runtime,total_budget,avg_budget_per_node,scheduler_efficiency,med_mean,med_skew
cora,37,scheduled,0.848987108655617,0.8598390317204265,0.835131837470503,0.8452651679498884,12.204320669174194,283162.0,104.56499481201172,2.9982381416136946e-06,0.6446419954299927,0.1170603558421135
cora,38,baseline,0.7955801104972375,0.6960097189841576,0.7241108285045431,0.7043002400972559,15.526834726333618,487440.0,180.0,1.632160082260868e-06,,
cora,38,scheduled,0.860036832412523,0.8593860299999617,0.8566199188633601,0.8556320062328859,14.732316970825195,326730.0,120.65361785888672,2.632255478261938e-06,0.5932258367538452,0.3295539617538452
cora,39,baseline,0.7311233885819521,0.6444758459964779,0.6598088867500224,0.6365809733735147,14.605632305145264,487440.0,180.0,1.4999248904110294e-06,,
cora,39,scheduled,0.8305709023941068,0.8314691936237504,0.8209707303973209,0.8222899652403075,13.9618501663208,326730.0,120.65361785888672,2.5420711363942914e-06,0.5805932283401489,0.37615737318992615
cora,40,baseline,0.6666666666666666,0.6073363604736072,0.5757555292966744,0.5398743571646294,14.39430570602417,487440.0,180.0,1.3676896985611904e-06,,
cora,40,scheduled,0.8747697974217311,0.8765784073285408,0.8612351932099772,0.8681081208635684,14.18488359451294,326730.0,120.65361785888672,2.6773476491957613e-06,0.673920750617981,0.037721313536167145
cora,41,baseline,0.7771639042357275,0.6583805678511137,0.6645108128903355,0.6530192367772508,15.733636140823364,487440.0,180.0,1.5943785988752e-06,,
cora,41,scheduled,0.856353591160221,0.846460788274119,0.8363766528838052,0.8381434275369983,14.637761116027832,326730.0,120.65361785888672,2.6209824355284824e-06,0.5939885973930359,0.3154062330722809
cora,42,baseline,0.7734806629834254,0.6833041326729816,0.697935035902473,0.6772626551184426,15.358556032180786,487440.0,180.0,1.5868223021980664e-06,,
cora,42,scheduled,0.856353591160221,0.8377940848392641,0.8457894014249057,0.8403193181460876,14.869107007980347,326730.0,120.65361785888672,2.6209824355284824e-06,0.6281657814979553,0.2054312378168106
cora,43,baseline,0.8139963167587477,0.8216998007892313,0.7302083499579766,0.7069078359315589,14.9116051197052,487440.0,180.0,1.6699415656465364e-06,,
cora,43,scheduled,0.861878453038674,0.8457368117660389,0.8303480637158301,0.8369316866320375,13.906028509140015,326730.0,120.65361785888672,2.6378919996286662e-06,0.6022511124610901,0.2783219516277313
cora,44,baseline,0.7826887661141805,0.7524354094774054,0.7755500890590985,0.7574589516780997,14.271257162094116,487440.0,180.0,1.6057130438909003e-06,,
cora,44,scheduled,0.85451197053407,0.8419415372982132,0.847670997373961,0.841900393663421,13.86400556564331,326730.0,120.65361785888672,2.6153459141617546e-06,0.5907657742500305,0.3395193815231323
cora,45,baseline,0.7495395948434622,0.7259079105350955,0.6953459673616228,0.7052467631664577,14.426704406738281,487440.0,180.0,1.5377063737966974e-06,,
cora,45,scheduled,0.8729281767955801,0.8565136544128141,0.856963993461058,0.8553689145675845,13.994211912155151,326730.0,120.65361785888672,2.6717111278290335e-06,0.6190797090530396,0.23503932356834412
cora,46,baseline,0.7550644567219152,0.6848098955572901,0.6909620180581093,0.6721793327923001,14.789227485656738,487440.0,180.0,1.549040818812398e-06,,
cora,46,scheduled,0.856353591160221,0.8645995030989854,0.8393830696411743,0.8499536706023206,14.416566371917725,326730.0,120.65361785888672,2.6209824355284824e-06,0.6126402616500854,0.2552444040775299
cora,47,baseline,0.8139963167587477,0.8265130788504071,0.7852909225148051,0.7964569256190253,14.6670663356781,487440.0,180.0,1.6699415656465364e-06,,
cora,47,scheduled,0.850828729281768,0.8486206937122136,0.8455628682768738,0.8462357138395141,13.991467237472534,326730.0,120.65361785888672,2.6040728714282985e-06,0.6185815334320068,0.22914770245552063
cora,48,baseline,0.7808471454880295,0.7361347344474494,0.6938681254230705,0.700837988372382,14.144406080245972,487440.0,180.0,1.6019348955523336e-06,,
cora,48,scheduled,0.8471454880294659,0.8311896300348672,0.8167081273209565,0.8226854692974925,12.884768724441528,299500.0,110.59822845458984,2.8285325142887007e-06,0.6627792716026306,0.09315596520900726
cora,49,baseline,0.848987108655617,0.8209873352953289,0.7980424694449992,0.804678601857813,15.202123641967773,487440.0,180.0,1.7417263840793062e-06,,
cora,49,scheduled,0.8471454880294659,0.8217644141247715,0.8301983170761524,0.8240236423791998,12.746696710586548,277716.0,102.55391693115234,3.050402166347873e-06,0.6017060279846191,0.2804166078567505
