dataset,seed,model,accuracy,precision,recall,f1,runtime,total_budget,avg_budget_per_node,scheduler_efficiency,med_mean,med_skew
cora,0,baseline,0.8876611418047882,0.8946437588821318,0.8823291738869218,0.888117222147917,1.570295810699463,373704.0,138.0,2.3753054337250556e-06,,
cora,0,scheduled,0.8710865561694291,0.8696066204259482,0.8656750106289074,0.8672425363837327,1.4382054805755615,326730.0,120.65361785888672,2.6660746064623057e-06,0.4762033224105835,0.8253343105316162
cora,1,baseline,0.8692449355432781,0.8540845576394844,0.852490096044103,0.8524253656406253,1.9542133808135986,373704.0,138.0,2.326025238004619e-06,,
cora,1,scheduled,0.8379373848987108,0.8275374511825204,0.8351890366698729,0.8282737853660294,1.4999058246612549,326730.0,120.65361785888672,2.564617221861203e-06,0.47009211778640747,0.8542706966400146
cora,2,baseline,0.8968692449355433,0.8878425074965355,0.8927137616306069,0.8900341636163457,2.8429949283599854,414324.0,153.0,2.164656753978875e-06,,
cora,2,scheduled,0.8692449355432781,0.8605963892352033,0.8644652784645535,0.8605894622565764,1.2925078868865967,326730.0,120.65361785888672,2.6604380850955775e-06,0.48078346252441406,0.8084567189216614
cora,3,baseline,0.8784530386740331,0.8757744406054196,0.8618695438808208,0.8674631485977533,2.134207248687744,398076.0,147.0,2.2067470499955613e-06,,
cora,3,scheduled,0.8821362799263351,0.8766409307380235,0.8734190765948896,0.8744831087559561,1.2486636638641357,326730.0,120.65361785888672,2.699893734662673e-06,0.469176322221756,0.8669740557670593
cora,4,baseline,0.8766114180478821,0.8553658322729853,0.8685881652894496,0.8604397058813265,2.4925386905670166,487440.0,180.0,1.7983986091578083e-06,,
cora,4,scheduled,0.8637200736648251,0.8425067246441807,0.8582306847617831,0.8492695424195297,1.3272910118103027,326730.0,120.65361785888672,2.643528520995394e-06,0.47902071475982666,0.8163748979568481
cora,5,baseline,0.8729281767955801,0.8673927994029776,0.8591567298879875,0.8628388207290907,1.992419958114624,414324.0,153.0,2.1068733088007937e-06,,
cora,5,scheduled,0.8747697974217311,0.8663511089885333,0.86570028409194,0.8654217807882365,1.398134469985962,326730.0,120.65361785888672,2.6773476491957613e-06,0.46901291608810425,0.8679067492485046
cora,6,baseline,0.8821362799263351,0.8826003571688733,0.879775531069092,0.8806053921997867,2.399400472640991,454944.0,168.0,1.938999700900188e-06,,
cora,6,scheduled,0.8453038674033149,0.8453637820135657,0.829965093332671,0.8354655657054121,1.4998509883880615,326730.0,120.65361785888672,2.5871633073281147e-06,0.48512279987335205,0.7866905331611633
cora,7,baseline,0.8692449355432781,0.8590855053982621,0.8632607945324622,0.860552619373285,2.9509425163269043,471192.0,174.0,1.844778637038146e-06,,
cora,7,scheduled,0.8637200736648251,0.8505781059892084,0.8606084462021161,0.8545916308167805,1.7487919330596924,326730.0,120.65361785888672,2.643528520995394e-06,0.477304071187973,0.8286222815513611
cora,8,baseline,0.8802946593001841,0.8752685193483233,0.8770227661414097,0.8744982744152587,2.2872965335845947,471192.0,174.0,1.8682292129326987e-06,,
cora,8,scheduled,0.8766114180478821,0.8737962955006494,0.8692060200021977,0.8708415674707639,1.4436299800872803,326730.0,120.65361785888672,2.682984170562489e-06,0.47616758942604065,0.8252652883529663
cora,9,baseline,0.8913443830570903,0.8815417112136765,0.8861982287621583,0.883150172960012,1.839639663696289,389952.0,144.0,2.285779744832929e-06,,
cora,9,scheduled,0.8710865561694291,0.8561424257409339,0.8681406735265514,0.8612305122661611,1.5014615058898926,326730.0,120.65361785888672,2.6660746064623057e-06,0.47695082426071167,0.8280537724494934
